city,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested
Melbourne,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N
Brewer,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,N
Brewster,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N
Brewton,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas City,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N
Colorado Springs,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N
Fulton,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N
Brick,Y,N,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y
Miami ,Y,N,N,N,N,-,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N
Kingsville,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntsville,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgeport,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Bridgeport,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
Rochester,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Bridgeton,N,Y,N,N,N,-,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
La Crosse,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgeville,Y,N,N,N,N,-,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N
Bridgewater,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N
Bridgton ,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N
Silver Spring,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham City,Y,N,N,N,Y,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N
Brighton,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,N
Brillion,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brimfield,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,N,N
Kent,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakersfield,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Louis,N,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
St. Louis,N,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
Bristol,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dighton ,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,N
Bristol,N,N,N,N,N,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Bristol,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Bristow,Y,N,N,N,N,-,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N
Fort Worth,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N
Britt,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Philadelphia,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Washington,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianapolis IN,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y
Providence ,Y,Y,Y,Y,Y,-,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Colorado Springs,Y,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N
Cleveland ,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N
Tacoma,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y
Broadway,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N
Brockport,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,Y,Y,Y,Y,Y,-,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N
Broken Bow ,Y,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N
Kalamazoo,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Bronx,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Bronxville,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y
Chicago,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus ,Y,N,N,N,N,-,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N
Follansbee,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
Wellsburg,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
Brookfield,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N
Brookfield,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N
Brookfield,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N
Brookfield,N,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
Brookhaven,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N
Brookhaven,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N
Brookings,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N
Brookings ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y
District of Columbia,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N
"Washington, DC",Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,N,N
Brooklin,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline ,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,N
Brooklyn,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N
Brooklyn,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockton,N,Y,N,Y,Y,-,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Kansas City,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N
Brooksville,Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N
Brooksville,Y,N,N,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Brookville,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y
Cumming,Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N
Binghamton,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,N
Broomfield,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N
Brooten,N,N,N,N,N,-,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Mt. Sterling,N,N,N,N,N,-,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Georgetown ,N,N,N,N,Y,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N
Mt Orab,N,N,N,N,Y,-,Y,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N
Brown Deer,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N
Providence ,Y,Y,Y,Y,Y,-,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N
Brownsburg,Y,Y,N,Y,Y,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N
Brownstown,Y,N,N,Y,N,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N
Brownstown,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York City,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,N,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N
Brownsville,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y
Brownsville,N,Y,N,N,N,-,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
Brownsville,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N
Brooklyn,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Brooklyn,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Brownwood,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildwood,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,Y
Bruceton Mills,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruceton Mills,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid City,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick ,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,Y
Brunswick,N,N,Y,Y,N,-,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Brunswick,Y,N,N,N,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y
Brush,Y,N,N,N,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Mission ,Y,Y,N,N,N,-,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y
Bryn Mawr ,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N
Orlando,Y,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N
Buchanan,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrensburg,Y,N,N,N,N,-,N,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
Buckeye,Y,N,N,N,N,-,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Turner,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckhannon,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N
Buckingham,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrenton,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton,Y,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N
Bucksport ,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N
Bluffton,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buena Vista,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buena Vista,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo Center,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,N,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Buffalo,Y,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Bunnell,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,N,Y
Burbank,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N
Burien,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N
Burke,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,N
Burke,Y,N,N,N,Y,-,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N
Valdese,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Burkesville ,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N
Burleson,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlingame ,Y,N,N,Y,Y,-,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N
Burlingame,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moorestown,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington,Y,N,N,N,Y,-,N,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N
Burlington,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Burlington,N,N,N,N,N,-,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Burlington ,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Burlington ,Y,Y,N,Y,Y,-,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y
Burlington ,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N
Sodus,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Grantsburg,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N
Grantsburg,Y,N,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N
Grantsburg,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N
Siren,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,Y
Burney,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
Redding,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnsville,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt Hills,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Harrisville ,Y,Y,Y,Y,Y,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y
Burwell,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Brooklyn,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
Greenville,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N
Butler,N,Y,N,Y,N,-,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N
Gainesville,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,N,Y
Salisbury,Y,N,N,N,N,-,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N
Spencer,Y,N,N,N,N,-,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N
Buzzards Bay,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Byrne's Mill,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
Byron Center,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N
Springfield,N,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
Cabool ,Y,N,N,N,N,-,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
